duty_id,slot,date,session,course_id,role_required,teacher_id,teacher_name,cost
11,1,27-Nov,Morning,ALL,Senior,T1,Dr. Sharma,1
12,2,27-Nov,Afternoon,ALL,Senior,T2,Dr. Nair,1
13,3,28-Nov,Morning,ALL,Senior,T3,Dr. Mehta,1
14,4,28-Nov,Afternoon,ALL,Senior,T4,Dr. Joshi,1
15,1,27-Nov,Morning,ALL,Squad,T5,Dr. Verma,1
16,2,27-Nov,Afternoon,ALL,Squad,T6,Dr. Reddy,1
17,3,28-Nov,Morning,ALL,Squad,T7,Dr. Iyer,1
18,4,28-Nov,Afternoon,ALL,Squad,T8,Dr. Kulkarni,1
1,1,27-Nov,Morning,C6,Junior,T9,Dr. Patel,1
2,1,27-Nov,Morning,C8,Junior,T10,Dr. Gupta,1
3,1,27-Nov,Morning,C3,Junior,T11,Dr. Khan,1
4,2,27-Nov,Afternoon,C7,Junior,T12,Dr. Das,1
5,2,27-Nov,Afternoon,C1,Junior,T13,Dr. Singh,1
6,2,27-Nov,Afternoon,C5,Junior,T14,Dr. Desai,1
7,3,28-Nov,Morning,C9,Junior,T15,Dr. Rao,1
8,3,28-Nov,Morning,C10,Junior,T16,Dr. Patil,1
10,4,28-Nov,Afternoon,C2,Junior,T17,Dr. Bhatt,1
9,3,28-Nov,Morning,C4,Junior,T18,Dr. Mishra,10
